Data Engineer,4 000 - 5 000 $,TechHunt,Віддалено
Junior Python developer,600 - 800 $,Simporter,Київ
Python Back-end Developer,3 200 - 4 300 $,EWL,Польща
Machine Learning Engineer (remote / office),4 000 - 4 500 $,IT Recruitment Solutions (ITRS.ua) ®,Київ
Remote Data Scientist,3 000 - 4 000 $,GLOBRECS | Global Recruitment Solutions,Київ
Senior Python developer,83 000 - 138 000 грн,iSi Technology,Дніпро
Full-stack Middle Python/Django developer,20 000 - 65 000 грн,https://bodia.online/,Бориспіль
Machine Learning Engineer,2 000 - 3 000 $,Depdiko,Київ
Программист python,100 - 150 грн/год.,Учебный центр ,Миколаїв
Python Software  Engineer,1 500 - 4 700 $,Epam,Київ
Business Analyst (remote / office),25 000 грн,Jobian,Київ
Аналитик базы данных ,,"Житловий Комплекс Воздвиженка, Тов",Київ
Senior Python Full-Stack Developer,,EVOLVE Dev,Київ
Senior PHP/ Python Developer,,Evergreen,Київ
Python developer,,Synthetic,Луцьк
Middle Python (Django) Developer,,Joffer,Чернівці
Бизнес-аналитик в IT (банк),,Hugen Ins,Дніпро
Senior Python Engineer,,DNA325,Одеса
Специалист IT Python,,EWL,Віддалено
Big Data Developer (Spark),,GLOBRECS | Global Recruitment Solutions,Київ
